kb_id,scientific_name,source,query_name,usable_count,raw_count,nc_count,license_types,attribution_feasible,cultivar_specific,count_confidence,disjoint_split_achievable,pitfall,retrieval_date
monstera-adansonii,Monstera adansonii,iNaturalist,captive-incl photo-license CC0/BY/BY-SA,295,4392,1786,CC0;CC-BY;CC-BY-SA,Y,n-a,medium,Y,vs M. deliciosa & rare M. obliqua mislabels (~10-15% discount),2026-06-05
monstera-adansonii,Monstera adansonii,iNaturalist,research-grade only (sub-note),202,,,CC0;CC-BY;CC-BY-SA,Y,n-a,high,Y,research-grade excludes captive houseplants,2026-06-05
monstera-adansonii,Monstera adansonii,GBIF,StillImage CC0/CC-BY (occurrence-license),2596,,,CC0;CC-BY,partial,n-a,low,Y,occurrence-license not photo-license; mirrors iNat (additive ~0),2026-06-05
monstera-adansonii,Monstera adansonii,Wikimedia Commons,Category direct files,71,,,CC0;CC-BY;CC-BY-SA;PD,Y,n-a,high,Y,+4 subcats (more in detail/cultivar subcats),2026-06-05
monstera-adansonii,Monstera adansonii,Flickr,CC/PD license-filtered,5,,,CC-BY;CC-BY-SA;CC0;PD,Y,n-a,low,Y,common-name tagging; needs manual label verification,2026-06-05
philodendron-hederaceum,Philodendron hederaceum,iNaturalist,captive-incl photo-license CC0/BY/BY-SA,413,6081,1741,CC0;CC-BY;CC-BY-SA,Y,n-a,medium,Y,cross-tagged with Epipremnum aureum (pothos lookalike),2026-06-05
philodendron-hederaceum,Philodendron hederaceum,iNaturalist,research-grade only (sub-note),281,,,CC0;CC-BY;CC-BY-SA,Y,n-a,high,Y,,2026-06-05
philodendron-hederaceum,Philodendron hederaceum,GBIF,StillImage CC0/CC-BY (occurrence-license),1428,,,CC0;CC-BY,partial,n-a,low,Y,mirrors iNat (additive ~0),2026-06-05
philodendron-hederaceum,Philodendron hederaceum,Wikimedia Commons,Category direct files,53,,,CC0;CC-BY;CC-BY-SA;PD,Y,n-a,high,Y,+2 subcats,2026-06-05
philodendron-hederaceum,Philodendron hederaceum,Flickr,CC/PD license-filtered,2,,,CC-BY;CC-BY-SA;CC0;PD,Y,n-a,low,Y,very low; needs label verification,2026-06-05
