base_image,expected_species_id,mode,perturbation,family,raw_top1_label,raw_top1_score,raw_top2_label,raw_top2_score,margin,mapped_top1_kb_id,mapped_top3_kb_ids,in_vocab,route,confident_wrong,latency_ms,failure
aglaonema__01,aglaonema,tta6,clean,clean,Chinese evergreen (Aglaonema),0.9686,Dracaena,0.0163,0.9523,aglaonema,"aglaonema|dracaena|monstera-deliciosa",true,high-conf,false,117,
aglaonema__01,aglaonema,grid2x2,clean,clean,Chinese evergreen (Aglaonema),0.9515,Dracaena,0.0148,0.9367,aglaonema,"aglaonema|dracaena|ctenanthe",true,high-conf,false,474,
aglaonema__01,aglaonema,grid2x2_3x3,clean,clean,Chinese evergreen (Aglaonema),0.8050,Tradescantia,0.1154,0.6896,aglaonema,"aglaonema|tradescantia|ctenanthe",true,high-conf,false,417,
aglaonema__01,aglaonema,tta6,blur,blur,Schefflera,0.4236,Tradescantia,0.2322,0.1914,schefflera,"schefflera|tradescantia|euphorbia-pulcherrima",true,low-conf,false,126,
aglaonema__01,aglaonema,grid2x2,blur,blur,Tradescantia,0.3533,Schefflera,0.3486,0.0046,tradescantia,"tradescantia|schefflera|euphorbia-pulcherrima",true,low-conf,false,187,
aglaonema__01,aglaonema,grid2x2_3x3,blur,blur,Tradescantia,0.3012,Schefflera,0.2097,0.0915,tradescantia,"tradescantia|schefflera|schlumbergera-bridgesii",true,low-conf,false,421,
aglaonema__01,aglaonema,tta6,crop_center_zoom,crop,Chinese evergreen (Aglaonema),0.8937,Tradescantia,0.0567,0.8370,aglaonema,"aglaonema|tradescantia|dracaena",true,high-conf,false,116,
aglaonema__01,aglaonema,grid2x2,crop_center_zoom,crop,Chinese evergreen (Aglaonema),0.7516,Dracaena,0.1242,0.6274,aglaonema,"aglaonema|dracaena|tradescantia",true,high-conf,false,234,
aglaonema__01,aglaonema,grid2x2_3x3,crop_center_zoom,crop,Chinese evergreen (Aglaonema),0.7160,Tradescantia,0.1151,0.6009,aglaonema,"aglaonema|tradescantia|dracaena",true,high-conf,false,771,
aglaonema__01,aglaonema,tta6,crop_offcenter_zoom,crop,Chinese evergreen (Aglaonema),0.9496,Tradescantia,0.0498,0.8999,aglaonema,"aglaonema|tradescantia|dracaena",true,high-conf,false,136,
aglaonema__01,aglaonema,grid2x2,crop_offcenter_zoom,crop,Chinese evergreen (Aglaonema),0.7640,English Ivy (Hedera helix),0.1015,0.6625,aglaonema,"aglaonema|hedera-helix|tradescantia",true,high-conf,false,200,
aglaonema__01,aglaonema,grid2x2_3x3,crop_offcenter_zoom,crop,Chinese evergreen (Aglaonema),0.5972,English Ivy (Hedera helix),0.1061,0.4911,aglaonema,"aglaonema|hedera-helix|tradescantia",true,high-conf,false,665,
aglaonema__01,aglaonema,tta6,rotate_+15,rotate,Chinese evergreen (Aglaonema),0.8284,Begonia (Begonia spp.),0.1072,0.7212,aglaonema,"aglaonema|begonia|tradescantia",true,high-conf,false,229,
aglaonema__01,aglaonema,grid2x2,rotate_+15,rotate,Chinese evergreen (Aglaonema),0.6508,Tradescantia,0.1220,0.5288,aglaonema,"aglaonema|tradescantia|begonia",true,high-conf,false,390,
aglaonema__01,aglaonema,grid2x2_3x3,rotate_+15,rotate,Chinese evergreen (Aglaonema),0.4812,Tradescantia,0.1943,0.2870,aglaonema,"aglaonema|tradescantia|hedera-helix",true,low-conf,false,605,
aglaonema__01,aglaonema,tta6,rotate_-15,rotate,Chinese evergreen (Aglaonema),0.4262,Tradescantia,0.3603,0.0659,aglaonema,"aglaonema|tradescantia|dracaena",true,low-conf,false,163,
aglaonema__01,aglaonema,grid2x2,rotate_-15,rotate,Chinese evergreen (Aglaonema),0.4433,Tradescantia,0.3055,0.1378,aglaonema,"aglaonema|tradescantia|dracaena",true,low-conf,false,184,
aglaonema__01,aglaonema,grid2x2_3x3,rotate_-15,rotate,Tradescantia,0.3800,Chinese evergreen (Aglaonema),0.3737,0.0063,tradescantia,"tradescantia|aglaonema|hedera-helix",true,low-conf,false,380,
aglaonema__01,aglaonema,tta6,rotate_+90,rotate,Chinese evergreen (Aglaonema),1.0000,Monstera Deliciosa (Monstera deliciosa),0.0000,1.0000,aglaonema,"aglaonema|monstera-deliciosa|dracaena",true,high-conf,false,97,
aglaonema__01,aglaonema,grid2x2,rotate_+90,rotate,Chinese evergreen (Aglaonema),0.9538,Tradescantia,0.0387,0.9151,aglaonema,"aglaonema|tradescantia|begonia",true,high-conf,false,200,
aglaonema__01,aglaonema,grid2x2_3x3,rotate_+90,rotate,Chinese evergreen (Aglaonema),0.7353,Tradescantia,0.1523,0.5830,aglaonema,"aglaonema|tradescantia|goeppertia-orbifolia",true,high-conf,false,440,
aglaonema__01,aglaonema,tta6,rotate_-90,rotate,Chinese evergreen (Aglaonema),0.7252,Dracaena,0.2566,0.4686,aglaonema,"aglaonema|dracaena|monstera-deliciosa",true,high-conf,false,144,
aglaonema__01,aglaonema,grid2x2,rotate_-90,rotate,Chinese evergreen (Aglaonema),0.8049,Dracaena,0.1820,0.6229,aglaonema,"aglaonema|dracaena|monstera-deliciosa",true,high-conf,false,156,
aglaonema__01,aglaonema,grid2x2_3x3,rotate_-90,rotate,Chinese evergreen (Aglaonema),0.6059,Dracaena,0.1472,0.4587,aglaonema,"aglaonema|dracaena|tradescantia",true,high-conf,false,353,
aglaonema__01,aglaonema,tta6,bright_up,brightness,Chinese evergreen (Aglaonema),0.9621,Dracaena,0.0248,0.9373,aglaonema,"aglaonema|dracaena|monstera-deliciosa",true,high-conf,false,141,
aglaonema__01,aglaonema,grid2x2,bright_up,brightness,Chinese evergreen (Aglaonema),0.7584,Tradescantia,0.1708,0.5876,aglaonema,"aglaonema|tradescantia|ctenanthe",true,high-conf,false,172,
aglaonema__01,aglaonema,grid2x2_3x3,bright_up,brightness,Chinese evergreen (Aglaonema),0.6780,Tradescantia,0.2157,0.4623,aglaonema,"aglaonema|tradescantia|hedera-helix",true,high-conf,false,344,
aglaonema__01,aglaonema,tta6,bright_down,brightness,Chinese evergreen (Aglaonema),0.9495,Dracaena,0.0325,0.9170,aglaonema,"aglaonema|dracaena|monstera-deliciosa",true,high-conf,false,107,
aglaonema__01,aglaonema,grid2x2,bright_down,brightness,Chinese evergreen (Aglaonema),0.7229,Tradescantia,0.1077,0.6152,aglaonema,"aglaonema|tradescantia|ctenanthe",true,high-conf,false,204,
aglaonema__01,aglaonema,grid2x2_3x3,bright_down,brightness,Chinese evergreen (Aglaonema),0.6611,Tradescantia,0.1576,0.5035,aglaonema,"aglaonema|tradescantia|ctenanthe",true,high-conf,false,393,
aglaonema__01,aglaonema,tta6,contrast_up,contrast,Chinese evergreen (Aglaonema),0.9105,Dracaena,0.0886,0.8219,aglaonema,"aglaonema|dracaena|monstera-deliciosa",true,high-conf,false,147,
aglaonema__01,aglaonema,grid2x2,contrast_up,contrast,Chinese evergreen (Aglaonema),0.9331,Dracaena,0.0561,0.8769,aglaonema,"aglaonema|dracaena|ctenanthe",true,high-conf,false,285,
aglaonema__01,aglaonema,grid2x2_3x3,contrast_up,contrast,Chinese evergreen (Aglaonema),0.7955,Tradescantia,0.1177,0.6778,aglaonema,"aglaonema|tradescantia|ctenanthe",true,high-conf,false,566,
aglaonema__01,aglaonema,tta6,contrast_down,contrast,Chinese evergreen (Aglaonema),0.6919,Schefflera,0.2752,0.4166,aglaonema,"aglaonema|schefflera|monstera-deliciosa",true,high-conf,false,255,
aglaonema__01,aglaonema,grid2x2,contrast_down,contrast,Chinese evergreen (Aglaonema),0.5616,Schefflera,0.1655,0.3961,aglaonema,"aglaonema|schefflera|tradescantia",true,high-conf,false,240,
aglaonema__01,aglaonema,grid2x2_3x3,contrast_down,contrast,Chinese evergreen (Aglaonema),0.5549,Tradescantia,0.1927,0.3621,aglaonema,"aglaonema|tradescantia|schefflera",true,high-conf,false,515,
alocasia__01,alocasia,tta6,clean,clean,Elephant Ear (Alocasia spp.),0.6714,Money Tree (Pachira aquatica),0.1363,0.5351,alocasia,"alocasia|pachira-aquatica|anthurium-andraeanum",true,high-conf,false,97,
alocasia__01,alocasia,grid2x2,clean,clean,Elephant Ear (Alocasia spp.),0.5956,Ctenanthe,0.0997,0.4958,alocasia,"alocasia|ctenanthe|pachira-aquatica",true,high-conf,false,251,
alocasia__01,alocasia,grid2x2_3x3,clean,clean,Elephant Ear (Alocasia spp.),0.5149,Peace lily,0.1491,0.3658,alocasia,"alocasia|spathiphyllum-wallisii|pachira-aquatica",true,high-conf,false,520,
alocasia__01,alocasia,tta6,blur,blur,Elephant Ear (Alocasia spp.),0.9582,Money Tree (Pachira aquatica),0.0341,0.9240,alocasia,"alocasia|pachira-aquatica|spathiphyllum-wallisii",true,high-conf,false,130,
alocasia__01,alocasia,grid2x2,blur,blur,Elephant Ear (Alocasia spp.),0.6674,Peace lily,0.1125,0.5549,alocasia,"alocasia|spathiphyllum-wallisii|nephrolepis-exaltata",true,high-conf,false,200,
alocasia__01,alocasia,grid2x2_3x3,blur,blur,Elephant Ear (Alocasia spp.),0.3556,Calathea,0.2695,0.0860,alocasia,"alocasia|goeppertia-orbifolia|spathiphyllum-wallisii",true,low-conf,false,317,
alocasia__01,alocasia,tta6,crop_center_zoom,crop,Elephant Ear (Alocasia spp.),0.7013,Anthurium (Anthurium andraeanum),0.2507,0.4506,alocasia,"alocasia|anthurium-andraeanum|epipremnum-aureum",true,high-conf,false,106,
alocasia__01,alocasia,grid2x2,crop_center_zoom,crop,Elephant Ear (Alocasia spp.),0.7734,Anthurium (Anthurium andraeanum),0.1828,0.5906,alocasia,"alocasia|anthurium-andraeanum|epipremnum-aureum",true,high-conf,false,153,
alocasia__01,alocasia,grid2x2_3x3,crop_center_zoom,crop,Elephant Ear (Alocasia spp.),0.7244,Anthurium (Anthurium andraeanum),0.1235,0.6009,alocasia,"alocasia|anthurium-andraeanum|goeppertia-orbifolia",true,high-conf,false,384,
alocasia__01,alocasia,tta6,crop_offcenter_zoom,crop,Elephant Ear (Alocasia spp.),0.3981,Peace lily,0.3730,0.0251,alocasia,"alocasia|spathiphyllum-wallisii|anthurium-andraeanum",true,low-conf,false,114,
alocasia__01,alocasia,grid2x2,crop_offcenter_zoom,crop,Peace lily,0.3979,Elephant Ear (Alocasia spp.),0.3497,0.0483,spathiphyllum-wallisii,"spathiphyllum-wallisii|alocasia|ctenanthe",true,low-conf,false,183,
alocasia__01,alocasia,grid2x2_3x3,crop_offcenter_zoom,crop,Elephant Ear (Alocasia spp.),0.4388,Peace lily,0.2622,0.1766,alocasia,"alocasia|spathiphyllum-wallisii|ctenanthe",true,low-conf,false,348,
alocasia__01,alocasia,tta6,rotate_+15,rotate,Elephant Ear (Alocasia spp.),0.9743,Dumb Cane (Dieffenbachia spp.),0.0147,0.9596,alocasia,"alocasia|dieffenbachia|asplenium-nidus",true,high-conf,false,132,
alocasia__01,alocasia,grid2x2,rotate_+15,rotate,Elephant Ear (Alocasia spp.),0.8022,Money Tree (Pachira aquatica),0.0962,0.7061,alocasia,"alocasia|pachira-aquatica|asplenium-nidus",true,high-conf,false,274,
alocasia__01,alocasia,grid2x2_3x3,rotate_+15,rotate,Elephant Ear (Alocasia spp.),0.6040,Money Tree (Pachira aquatica),0.1138,0.4902,alocasia,"alocasia|pachira-aquatica|epipremnum-aureum",true,high-conf,false,406,
alocasia__01,alocasia,tta6,rotate_-15,rotate,Elephant Ear (Alocasia spp.),0.8310,Pothos (Ivy arum),0.1100,0.7210,alocasia,"alocasia|epipremnum-aureum|asplenium-nidus",true,high-conf,false,88,
alocasia__01,alocasia,grid2x2,rotate_-15,rotate,Elephant Ear (Alocasia spp.),0.6095,Pothos (Ivy arum),0.1714,0.4381,alocasia,"alocasia|epipremnum-aureum|asplenium-nidus",true,high-conf,false,172,
