speciesId	file	license	title	descriptionUrl
monstera-deliciosa	monstera_deliciosa.webp	CC0	File:Monstera deliciosa - zrající plodenství.jpg	https://commons.wikimedia.org/wiki/File:Monstera_deliciosa_-_zraj%C3%ADc%C3%AD_plodenstv%C3%AD.jpg
monstera-adansonii	monstera_adansonii.webp	Public domain	File:Monstera adansonii CBM.png	https://commons.wikimedia.org/wiki/File:Monstera_adansonii_CBM.png
epipremnum-aureum	epipremnum_aureum.webp	CC0	File:Epipremnum aureum in wild.jpg	https://commons.wikimedia.org/wiki/File:Epipremnum_aureum_in_wild.jpg
spathiphyllum-wallisii	spathiphyllum_wallisii.webp	Public domain	File:SpathiphyllumWallisii.jpg	https://commons.wikimedia.org/wiki/File:SpathiphyllumWallisii.jpg
ficus-elastica	ficus_elastica.webp	CC0	File:Ficus elastica 29761125.jpg	https://commons.wikimedia.org/wiki/File:Ficus_elastica_29761125.jpg
ficus-lyrata	ficus_lyrata.webp	CC0	File:Ficus lyrata 348073320.jpg	https://commons.wikimedia.org/wiki/File:Ficus_lyrata_348073320.jpg
dracaena-trifasciata	dracaena_trifasciata.webp	CC0	File:Snake plant (Sansevieria trifasciata) Waoleona Buton Island 02.jpg	https://commons.wikimedia.org/wiki/File:Snake_plant_(Sansevieria_trifasciata)_Waoleona_Buton_Island_02.jpg
zamioculcas-zamiifolia	zamioculcas_zamiifolia.webp	CC0	File:Millonaria (Zamioculcas zamiifolia).jpg	https://commons.wikimedia.org/wiki/File:Millonaria_(Zamioculcas_zamiifolia).jpg
crassula-ovata	crassula_ovata.webp	CC0	File:Among the branches of a potted jade plant.jpg	https://commons.wikimedia.org/wiki/File:Among_the_branches_of_a_potted_jade_plant.jpg
chlorophytum-comosum	chlorophytum_comosum.webp	CC0	File:Seed and Fruit of Chlorophytum comosum.jpg	https://commons.wikimedia.org/wiki/File:Seed_and_Fruit_of_Chlorophytum_comosum.jpg
saintpaulia-ionantha	saintpaulia_ionantha.webp	Public domain	File:Streptocarpus ionanthus (as Saintpaulia ionantha) - Curtis' 121 (Ser. 3 no. 51) pl. 7408 (1895).jpg	https://commons.wikimedia.org/wiki/File:Streptocarpus_ionanthus_(as_Saintpaulia_ionantha)_-_Curtis%27_121_(Ser._3_no._51)_pl._7408_(1895).jpg
goeppertia-orbifolia	goeppertia_orbifolia.webp	CC0	File:Calathea orbiculata - Begonia House - Wellington Botanic Garden - Wellington, NZ - DSC09392.jpg	https://commons.wikimedia.org/wiki/File:Calathea_orbiculata_-_Begonia_House_-_Wellington_Botanic_Garden_-_Wellington,_NZ_-_DSC09392.jpg
hoya-carnosa	hoya_carnosa.webp	CC0	File:Hoya carnosa (wax vines).jpg	https://commons.wikimedia.org/wiki/File:Hoya_carnosa_(wax_vines).jpg
aglaonema	aglaonema.webp	CC0	File:Konya Kelebekler Vadisi Aglaonema.jpg	https://commons.wikimedia.org/wiki/File:Konya_Kelebekler_Vadisi_Aglaonema.jpg
anthurium-andraeanum	anthurium_andraeanum.webp	Public domain	File:Branched spadix of flamingo flower (Anthurium andraeanum).jpg	https://commons.wikimedia.org/wiki/File:Branched_spadix_of_flamingo_flower_(Anthurium_andraeanum).jpg
dieffenbachia	dieffenbachia.webp	CC0	File:Dieffenbachia moralis holotype 01.jpg	https://commons.wikimedia.org/wiki/File:Dieffenbachia_moralis_holotype_01.jpg
aloe-vera	aloe_vera.webp	CC0	File:Aloe vera for sale.jpg	https://commons.wikimedia.org/wiki/File:Aloe_vera_for_sale.jpg
kalanchoe	kalanchoe.webp	CC0	File:Kalanchoe blossfeldiana (Florist Kalanchoe).jpg	https://commons.wikimedia.org/wiki/File:Kalanchoe_blossfeldiana_(Florist_Kalanchoe).jpg
maranta-leuconeura	maranta_leuconeura.webp	Public domain	File:Maranta leuconeura D2411.jpg	https://commons.wikimedia.org/wiki/File:Maranta_leuconeura_D2411.jpg
nephrolepis-exaltata	nephrolepis_exaltata.webp	CC0	File:Helecho de Boston (Nephrolepis exaltata).jpg	https://commons.wikimedia.org/wiki/File:Helecho_de_Boston_(Nephrolepis_exaltata).jpg
pachira-aquatica	pachira_aquatica.webp	Public domain	File:Pachira aquatica Aublet 1775 pl 292.jpg	https://commons.wikimedia.org/wiki/File:Pachira_aquatica_Aublet_1775_pl_292.jpg
dypsis-lutescens	dypsis_lutescens.webp	CC0	File:Dypsis lutescens Medellín - 4.jpg	https://commons.wikimedia.org/wiki/File:Dypsis_lutescens_Medell%C3%ADn_-_4.jpg
tradescantia	tradescantia.webp	CC0	File:Tradescantia zebrina (Maligano Buton Island).jpg	https://commons.wikimedia.org/wiki/File:Tradescantia_zebrina_(Maligano_Buton_Island).jpg
schefflera	schefflera.webp	CC0	File:Schefflera arboricola (bonsai), Phipps Conservatory, 2014-03-01.jpg	https://commons.wikimedia.org/wiki/File:Schefflera_arboricola_(bonsai),_Phipps_Conservatory,_2014-03-01.jpg
euphorbia-pulcherrima	euphorbia_pulcherrima.webp	Public domain	File:Euphorbia pulcherrima Blanco1.167.jpg	https://commons.wikimedia.org/wiki/File:Euphorbia_pulcherrima_Blanco1.167.jpg
dionaea-muscipula	dionaea_muscipula.webp	Public domain	File:Lavradia glandulosa Dionaea muscipula HistPlRemarqBresil 6(7).jpg	https://commons.wikimedia.org/wiki/File:Lavradia_glandulosa_Dionaea_muscipula_HistPlRemarqBresil_6(7).jpg
chamaedorea-elegans	chamaedorea_elegans.webp	Public domain	File:Chamaedorea elegans.png	https://commons.wikimedia.org/wiki/File:Chamaedorea_elegans.png
strelitzia-reginae	strelitzia_reginae.webp	Public domain	File:Strelitzia larger.jpg	https://commons.wikimedia.org/wiki/File:Strelitzia_larger.jpg
